"codigo";"descricao";"descricao_breve"
"A76";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A77";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A78";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A79";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A80";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A81";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A82";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A83";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A84";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A85";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A86";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A87";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A88";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A89";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A90";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A91";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A92";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A93";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A94";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A95";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A96";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A97";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A98";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A99";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B00";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B01";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B02";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B03";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B04";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B05";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B06";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B07";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B08";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B09";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B10";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B11";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B12";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B13";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B14";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
